Overall Accuracy: 90.23%

Predicted  #    $   ''   (   )     ,     .    :    CC    CD    DT  EX    IN    JJ  JJR  JJS   MD    NN   NNP  NNPS   NNS  POS   PRP  PRP$    RB  RBR   RP  SYM    TO   VB   VBD  VBG  VBN  VBP   VBZ  WDT   WP  WP$  WRB   ``
Actual                                                                                                                                                                                                                       
#          5    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
$          0  371    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     4     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
''         0    0  528   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    5     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
(          0    0    0  76   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
)          0    0    0   0  76     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
,          0    0    0   0   0  3070     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
.          0    0    0   0   0     0  2363    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
:          0    0    0   0   0     0     0  336     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
CC         0    0    0   0   0     0     0    0  1364     0     8   0     0     0    0    0    0     0     0     0     0    0     0     0     1    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
CD         0    0    0   0   0     0     0    0     0  1926     0   0     0     0    0    0    0     2     7     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
DT         0    0    0   0   0     0     0    0     0     0  4747   0    68     2    0    0    0     2     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
EX         0    0    0   0   0     0     0    0     0     0     0  57     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
FW         0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0    10     6     0     4    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
IN         0    0    0   0   0     0     0    0     0     0     4   0  5792    10    0    0    0     2    11     0     3    0     0     0    16    0   28    0     0    0     0    0    0    0     0    0    0    0    0    0
JJ         0    0    0   0   0     0     0    0     0    48     0   0     4  2396    0    1    0   787   116     0    32    0     0     0    79    0    1    0     0    7    34  101  102    3     0    0    0    0    0    0
JJR        0    0    0   0   0     0     0    0     0     0     0   0     0     2  102    0    0    15     1     0     0    0     0     0     0   74    0    0     0    0     0    0    0    0     0    0    0    0    0    0
JJR|RBR    0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    4    0    0     0    0     0    0    0    0     0    0    0    0    0    0
JJS        0    0    0   0   0     0     0    0     0     0     0   0     0     0    0  117    0     9     2     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
JJ|IN      0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     1     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
LS         0    0    0   0   0     0     0    0     0     4     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
MD         0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0  582     0     2     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
NN         0    0    0   0   0     0     0    0     2     7     0   0     6   104    0    0    3  6979   100     0    36    0     0     0     9    0    0    0     0  126     1  161    2   43     1    0    0    0    0    0
NNP        0    0    0   0   0     0     0    0     0    23     5   0     1    87    1    0    0    19  5471    48   256    0     0     0     0    0    0    0     0    1     0   26    0    0     1    0    0    0    0    0
NNPS       0    0    0   0   0     0     0    0     0     0     0   0     0     5    0    0    0     0     0    10    27    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
NNS        0    0    0   0   0     0     0    0     0     6     0   0     0    16    0    0    0     5    12     7  3364    0     0     0     0    0    0    0     0    0     0    0    0    0   103    0    0    0    0    0
PDT        0    0    0   0   0     0     0    0     0     0    11   0     0     4    0    0    0     3     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
POS        0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0  551     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
PRP        0    0    0   0   0     0     0    0     0     6     0   0     0     0    0    0    0     0     0     0     0    0  1042     8     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
PRP$       0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     3     0     0    0     0   507     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
RB         0    0    0   0   0     0     0    0     6     0    11   6   172    56    0    2    0    45    28     0     2    0     0     0  1679    0   35    0     0    6     0    0    0    0     0    0    0    0    0    0
RBR        0    0    0   0   0     0     0    0     0     0     0   0     0     2   42    0    0     1     0     0     1    0     0     0     0   64    0    0     0    0     0    0    0    0     0    0    0    0    0    0
RBR|JJR    0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    2    0    0     0    0     0    0    0    0     0    0    0    0    0    0
RBS        0    0    0   0   0     0     0    0     0     0     0   0     0     0    0   30    0     0     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
RB|JJ      0    0    0   0   0     0     0    0     0     0     0   0     0     1    0    0    0     0     0     0     0    0     0     0     1    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
RP         0    0    0   0   0     0     0    0     0     0     0   0    38     0    0    0    0     1     1     0     0    0     0     0    30    0  107    0     0    0     0    0    0    0     0    0    0    0    0    0
SYM        0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    1     0    0     0    0    0    0     0    0    0    0    0    0
TO         0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    0  1245    0     0    0    0    0     0    0    0    0    0    0
UH         0    0    0   0   0     0     0    0     0     0     1   0     0     0    0    0    0     1     2     0     1    0     0     0     3    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
VB         0    0    0   0   0     0     0    0     0     0     0   0     4    27    1    0    0   405    16     0     3    0     0     0     5    0    0    0     0  911     1    0    5  211     0    0    0    0    0    0
VBD        0    0    0   0   0     0     0    0     0     0     0   0     0     5    0    0    0   142     2     0     0    0     0     0     0    0    0    0     0    9  1470    0  208    1     0    0    0    0    0    0
VBG        0    0    0   0   0     0     0    0     0     0     0   0     0     3    0    0    0    50     1     0     0    0     0     0     0    0    0    0     0    0     0  763    0    0     0    0    0    0    0    0
